iter	RMSE
0	14497.61038
1	13941.06691
2	13411.44453
3	12897.08455
4	12400.53392
5	11921.32544
6	11470.56757
7	11044.03738
8	10630.64933
9	10230.67747
10	9855.322174
11	9483.00652
12	9139.422992
13	8800.273138
14	8469.170681
15	8157.472237
16	7848.107485
17	7566.70587
18	7290.326585
19	7025.634351
20	6776.303994
21	6528.709933
22	6295.650532
23	6068.13687
24	5859.894268
25	5651.275405
26	5451.931941
27	5260.302933
28	5076.383119
29	4902.369522
30	4731.807782
31	4569.366352
32	4422.020135
33	4278.481781
34	4139.038159
35	4010.180806
36	3881.564957
37	3762.479333
38	3646.52286
39	3530.981303
40	3418.417292
41	3322.517757
42	3223.76821
43	3127.630319
44	3037.834504
45	2952.17973
46	2872.106634
47	2794.816665
48	2723.276656
49	2655.34777
50	2587.597351
51	2524.452109
52	2464.864222
53	2410.149133
54	2355.78715
55	2303.472985
56	2255.004522
57	2207.497712
58	2162.196579
59	2122.978826
60	2084.724713
61	2044.785214
62	2010.397828
63	1977.382065
64	1947.035982
65	1916.565857
66	1889.785812
67	1863.307801
68	1837.657588
69	1814.540037
70	1790.478947
71	1770.376717
72	1749.261386
73	1730.59625
74	1711.862782
75	1695.345015
76	1678.902779
77	1663.168327
78	1647.548678
79	1633.035477
80	1621.072809
81	1607.961639
82	1596.39307
83	1585.065329
84	1572.614358
85	1562.004415
86	1550.975083
87	1542.547549
88	1532.920624
89	1524.302274
90	1516.361713
91	1506.676751
92	1497.229419
93	1488.826348
94	1482.308672
95	1474.198947
96	1467.304623
97	1461.790507
98	1455.933053
99	1449.908392
100	1443.419332
101	1438.303941
102	1432.870194
103	1427.833518
104	1422.672762
105	1417.577462
106	1413.403467
107	1410.073838
108	1405.099564
109	1399.975472
110	1395.501717
111	1391.495426
112	1387.287608
113	1383.254876
114	1379.659943
115	1376.749818
116	1372.903389
117	1369.922294
118	1366.93619
119	1363.346171
120	1360.867176
121	1357.352809
122	1354.107648
123	1351.020187
124	1347.826774
125	1344.731932
126	1340.905314
127	1337.869884
128	1335.408283
129	1333.139435
130	1330.036343
131	1326.618037
132	1324.324561
133	1322.007874
134	1319.833208
135	1317.220592
136	1313.542643
137	1311.762221
138	1308.842904
139	1305.769374
140	1303.834647
141	1301.620971
142	1299.859263
143	1297.705343
144	1294.815076
145	1292.035902
146	1289.278757
147	1287.627481
148	1286.100572
149	1284.206003
150	1282.035339
151	1279.814877
152	1278.209412
153	1275.966515
154	1273.213331
155	1270.723277
156	1268.606119
157	1266.250884
158	1264.648398
159	1262.850084
160	1261.412469
161	1259.308389
162	1257.517184
163	1256.034762
164	1253.617575
165	1252.078851
166	1250.073801
167	1247.944076
168	1246.747798
169	1244.353836
170	1242.748777
171	1241.505201
172	1239.120064
173	1237.855656
174	1235.271741
175	1233.672014
176	1231.381222
177	1228.875337
178	1226.788857
179	1224.686816
180	1223.28846
181	1222.081287
182	1220.380202
183	1219.11621
184	1217.511621
185	1216.175543
186	1214.614818
187	1212.672624
188	1210.473316
189	1209.062625
190	1206.683808
191	1204.56107
192	1203.305101
193	1201.585908
194	1200.367868
195	1199.040013
196	1196.60974
197	1195.148222
198	1193.954623
