iter	Passed	Remaining
0	2	2413
1	4	2269
2	6	2172
3	8	2126
4	11	2208
5	13	2200
6	15	2261
7	18	2289
8	20	2297
9	23	2285
10	25	2299
11	27	2298
12	30	2305
13	33	2351
14	35	2356
15	38	2352
16	40	2351
17	43	2346
18	45	2341
19	48	2355
20	50	2348
21	52	2337
22	54	2329
23	57	2321
24	59	2317
25	62	2352
26	65	2360
27	67	2355
28	70	2347
29	72	2345
30	74	2336
31	76	2325
32	79	2331
33	81	2325
34	84	2321
35	86	2314
36	88	2314
37	91	2315
38	94	2320
39	96	2320
40	98	2312
41	101	2307
42	103	2307
43	106	2304
44	108	2301
45	111	2302
46	113	2293
47	115	2288
48	117	2282
49	120	2282
50	122	2277
51	125	2279
52	127	2277
53	129	2272
54	131	2265
55	134	2265
56	136	2259
57	138	2254
58	141	2258
59	143	2252
60	146	2248
61	148	2244
62	150	2243
63	153	2239
64	155	2235
65	158	2238
66	160	2235
67	163	2234
68	165	2233
69	167	2225
70	169	2220
71	172	2219
72	174	2212
73	176	2205
74	178	2199
75	180	2196
76	182	2191
77	184	2185
78	187	2180
79	189	2176
80	191	2170
81	193	2165
82	195	2162
83	198	2161
84	200	2158
85	203	2158
86	205	2155
87	207	2150
88	209	2144
89	211	2140
90	213	2136
91	215	2130
92	218	2129
93	220	2125
94	222	2120
95	224	2114
96	226	2111
97	229	2108
98	231	2104
99	233	2100
100	235	2096
101	237	2089
102	239	2083
103	241	2076
104	242	2071
105	244	2065
106	247	2062
107	249	2063
108	252	2061
109	254	2057
110	256	2054
111	258	2049
112	260	2048
113	262	2043
114	265	2042
115	267	2039
116	269	2036
117	272	2033
118	274	2030
119	276	2028
120	278	2026
121	281	2025
122	283	2022
123	285	2019
124	288	2017
125	290	2014
126	293	2014
127	295	2013
128	297	2012
129	300	2009
130	302	2006
131	304	2004
132	307	2003
133	310	2006
134	312	2004
135	314	2001
136	316	1996
137	319	1993
138	321	1989
139	323	1985
140	325	1982
141	327	1980
142	329	1976
143	331	1973
144	334	1970
145	336	1967
146	338	1963
147	340	1962
148	343	1964
149	346	1961
150	348	1957
151	350	1952
152	352	1949
153	354	1945
154	356	1942
155	358	1939
156	360	1935
157	362	1933
158	364	1930
159	367	1927
160	369	1925
161	371	1922
162	374	1923
163	376	1921
164	379	1919
165	382	1920
166	384	1918
167	387	1917
168	392	1928
169	395	1931
170	398	1930
171	400	1929
172	403	1928
173	406	1928
174	408	1925
175	411	1927
176	414	1925
177	416	1923
178	419	1923
179	422	1923
180	424	1921
181	427	1921
182	429	1919
183	432	1917
184	434	1914
185	437	1914
186	439	1911
187	441	1908
188	444	1906
189	446	1902
190	448	1901
191	451	1898
192	453	1896
193	455	1893
194	457	1890
195	460	1887
196	462	1886
197	465	1887
198	468	1886
199	471	1887
200	474	1885
201	476	1882
202	479	1881
203	481	1879
204	484	1878
205	486	1876
206	489	1873
207	492	1874
208	495	1874
209	498	1876
210	502	1879
211	505	1877
212	508	1878
213	511	1877
214	514	1880
215	517	1879
216	520	1878
217	524	1880
218	527	1880
219	530	1881
220	533	1880
221	536	1879
222	539	1879
223	542	1878
224	544	1875
225	546	1872
226	549	1869
227	551	1866
228	553	1862
229	555	1859
230	558	1857
231	560	1855
232	562	1853
233	565	1849
234	567	1846
235	569	1843
236	571	1839
237	573	1836
238	575	1833
239	577	1830
240	580	1827
241	582	1824
242	584	1820
243	586	1817
244	588	1814
245	591	1811
246	593	1810
247	596	1808
248	598	1805
249	600	1801
250	602	1799
251	605	1795
252	607	1792
253	609	1790
254	611	1787
255	613	1783
256	616	1781
257	618	1778
258	620	1775
259	622	1772
260	625	1769
261	627	1767
262	629	1763
263	632	1763
264	634	1761
265	637	1758
266	639	1755
267	641	1752
268	644	1750
269	646	1747
270	648	1744
271	650	1741
272	652	1737
273	654	1735
274	656	1731
275	658	1728
276	661	1725
277	663	1722
278	665	1719
279	667	1716
280	669	1713
281	672	1711
282	674	1708
283	676	1706
284	679	1703
285	681	1700
286	683	1698
287	685	1695
288	688	1692
289	690	1690
290	692	1687
291	694	1683
292	696	1680
293	698	1678
294	701	1675
295	703	1672
296	705	1670
297	707	1667
298	709	1664
299	712	1661
300	714	1659
301	717	1657
302	719	1655
303	721	1652
304	723	1649
305	725	1645
306	727	1642
307	729	1639
308	732	1637
309	734	1635
310	736	1632
311	738	1629
312	741	1626
313	743	1624
314	745	1621
315	747	1618
316	750	1616
317	752	1613
318	754	1610
319	756	1608
320	759	1605
321	761	1603
322	764	1601
323	766	1599
324	769	1597
325	771	1595
326	774	1593
327	777	1591
328	779	1589
329	781	1587
330	784	1585
331	786	1583
332	789	1581
333	792	1579
334	794	1576
335	796	1573
336	798	1570
337	800	1567
338	802	1564
339	804	1561
340	806	1558
341	808	1555
342	811	1553
343	813	1551
344	815	1548
345	817	1545
346	819	1542
347	821	1539
348	824	1537
349	826	1534
350	828	1531
351	830	1528
352	832	1526
353	835	1523
354	837	1521
355	839	1518
356	841	1515
357	844	1513
358	846	1511
359	848	1508
360	850	1505
361	852	1502
362	854	1500
363	857	1498
364	859	1495
365	861	1492
366	863	1490
367	866	1487
368	868	1484
369	870	1481
370	872	1479
371	874	1476
372	876	1473
373	878	1470
374	880	1468
375	883	1465
376	885	1462
377	887	1460
378	889	1457
379	891	1455
380	894	1452
381	896	1449
382	898	1447
383	900	1445
384	903	1442
385	905	1440
386	907	1438
387	909	1435
388	912	1432
389	914	1429
390	916	1426
391	918	1424
392	920	1422
393	923	1419
394	925	1417
395	927	1414
396	929	1411
397	931	1409
398	933	1406
399	935	1403
400	938	1401
401	940	1398
402	942	1396
403	944	1393
404	947	1391
405	949	1389
406	951	1386
407	954	1384
408	956	1381
409	958	1379
410	962	1379
411	965	1377
412	967	1375
413	970	1374
414	974	1373
415	978	1373
416	980	1370
417	985	1371
418	989	1371
419	993	1371
420	995	1369
421	1000	1370
422	1003	1368
423	1005	1366
424	1008	1363
425	1010	1361
426	1014	1361
427	1018	1361
428	1023	1361
429	1026	1360
430	1029	1359
431	1032	1358
432	1037	1358
433	1042	1359
434	1045	1358
435	1051	1360
436	1054	1358
437	1057	1356
438	1060	1355
439	1066	1357
440	1070	1356
441	1073	1355
442	1076	1353
443	1079	1351
444	1082	1350
445	1085	1348
446	1088	1346
447	1091	1345
448	1095	1344
449	1098	1343
450	1101	1340
451	1104	1338
452	1107	1336
453	1110	1336
454	1113	1334
455	1116	1331
456	1118	1328
457	1120	1326
458	1123	1323
459	1127	1323
460	1130	1321
461	1132	1318
462	1134	1316
463	1137	1314
464	1140	1311
465	1142	1309
466	1144	1306
467	1146	1303
468	1149	1300
469	1151	1298
470	1153	1295
471	1155	1293
472	1158	1290
473	1160	1287
474	1162	1284
475	1164	1281
476	1166	1279
477	1168	1276
478	1171	1273
479	1173	1271
480	1175	1268
481	1177	1265
482	1179	1262
483	1181	1259
484	1183	1256
485	1185	1253
486	1187	1251
487	1190	1248
488	1192	1246
