iter	Passed	Remaining
0	1	1639
1	2	1479
2	4	1443
3	5	1422
4	7	1455
5	8	1434
6	10	1434
7	11	1423
8	13	1438
9	14	1423
10	15	1409
11	16	1397
12	18	1390
13	19	1380
14	20	1376
15	22	1368
16	23	1371
17	25	1366
18	26	1362
19	27	1357
20	29	1359
21	30	1354
22	31	1349
23	33	1343
24	34	1336
25	35	1332
26	36	1329
27	38	1338
28	39	1334
29	41	1331
30	42	1327
31	43	1327
32	45	1325
33	46	1322
34	47	1322
35	49	1320
36	50	1322
37	52	1320
38	53	1325
39	55	1323
40	56	1320
41	57	1319
42	59	1319
43	60	1317
44	61	1315
45	63	1314
46	64	1311
47	66	1309
48	67	1308
49	68	1307
50	70	1306
51	71	1305
52	73	1304
53	74	1302
54	75	1303
55	77	1301
56	78	1300
57	79	1298
58	81	1296
59	82	1295
60	83	1292
61	85	1290
62	86	1288
63	87	1286
64	89	1283
65	90	1284
66	92	1283
67	93	1282
68	94	1279
69	96	1277
70	97	1275
71	98	1273
72	100	1271
73	101	1268
74	102	1266
75	104	1265
76	105	1264
77	107	1265
78	108	1265
79	109	1262
80	111	1260
81	112	1258
82	113	1258
83	115	1256
84	116	1253
85	117	1252
86	119	1249
87	120	1247
88	121	1245
89	123	1244
90	124	1243
91	125	1241
92	127	1240
93	128	1238
94	129	1236
95	131	1234
96	132	1232
97	133	1231
98	135	1228
99	136	1227
100	137	1226
101	139	1224
102	140	1222
103	141	1221
104	143	1219
105	144	1217
106	145	1215
107	147	1214
108	148	1213
109	150	1214
110	151	1212
111	152	1210
112	154	1210
113	155	1209
114	156	1207
115	158	1205
116	159	1204
117	160	1202
118	162	1200
119	163	1198
120	164	1196
121	166	1195
122	167	1193
123	168	1192
124	170	1191
125	171	1189
126	172	1188
127	174	1187
128	175	1185
129	176	1183
130	178	1182
131	179	1180
132	180	1178
133	182	1177
134	183	1175
135	184	1175
136	186	1173
137	187	1171
138	188	1170
139	190	1168
140	191	1166
141	192	1165
142	194	1163
143	195	1162
144	196	1160
145	198	1158
146	199	1157
147	200	1156
148	202	1154
149	203	1153
150	204	1151
151	206	1150
152	207	1148
153	208	1146
154	210	1144
155	211	1143
156	212	1141
157	214	1141
158	231	1222
159	234	1228
160	236	1234
161	239	1240
162	242	1245
163	245	1253
164	249	1261
165	252	1269
166	255	1274
167	258	1280
168	261	1285
169	264	1292
170	267	1298
171	270	1300
172	272	1302
173	274	1304
174	276	1305
175	279	1306
176	280	1306
177	282	1306
178	284	1306
179	286	1304
180	288	1303
181	289	1302
182	291	1302
183	293	1300
184	295	1299
185	296	1298
186	298	1298
187	300	1299
188	302	1298
189	303	1295
190	305	1292
191	306	1289
192	307	1287
193	309	1284
194	310	1282
195	312	1280
196	315	1286
197	318	1289
198	319	1287
199	321	1285
200	322	1283
201	324	1281
202	326	1280
203	328	1280
204	330	1281
205	332	1283
206	334	1281
207	336	1279
208	337	1278
209	339	1277
210	341	1276
211	343	1276
212	346	1278
213	348	1281
214	350	1279
215	352	1278
216	353	1276
217	355	1275
218	357	1275
219	359	1275
220	362	1278
221	364	1278
222	366	1276
223	367	1274
224	369	1273
225	371	1271
226	373	1270
227	375	1270
228	377	1272
229	379	1271
230	381	1270
231	383	1268
232	384	1266
233	386	1264
234	388	1264
235	390	1263
236	393	1265
237	395	1265
238	397	1264
239	398	1262
240	400	1261
241	402	1259
242	404	1258
243	406	1259
244	409	1260
245	412	1263
246	413	1260
247	414	1258
248	416	1255
249	417	1252
250	419	1250
251	420	1248
252	422	1248
253	424	1246
254	426	1245
255	427	1242
256	428	1240
257	430	1237
258	431	1234
259	432	1232
260	434	1230
261	435	1227
262	438	1227
263	440	1227
264	441	1225
265	443	1223
266	444	1220
267	445	1218
268	447	1215
269	448	1212
270	450	1211
271	451	1209
272	454	1210
273	456	1210
274	458	1208
275	459	1205
276	461	1203
277	462	1201
278	463	1198
279	465	1196
280	466	1193
281	468	1192
282	471	1193
283	473	1193
284	474	1191
285	476	1188
286	477	1186
287	478	1183
288	480	1181
289	481	1179
290	483	1177
291	485	1176
292	487	1175
293	488	1173
294	489	1170
295	491	1168
296	492	1166
297	493	1163
298	495	1161
299	496	1159
300	498	1158
301	500	1157
302	502	1156
303	504	1154
304	505	1152
305	506	1149
306	508	1147
307	509	1144
308	510	1142
309	512	1140
310	513	1138
311	515	1137
312	517	1136
313	519	1134
314	520	1132
315	522	1130
316	523	1128
317	524	1125
318	526	1123
319	527	1121
320	529	1119
321	531	1118
322	533	1118
323	535	1117
324	536	1114
325	538	1112
326	539	1110
327	540	1107
328	542	1105
329	543	1103
330	545	1102
331	547	1101
332	549	1099
333	550	1097
334	551	1095
335	553	1093
336	554	1090
337	555	1088
338	557	1086
339	558	1084
340	560	1082
341	562	1081
342	565	1082
343	569	1085
344	571	1084
345	573	1083
346	575	1083
347	577	1082
348	579	1080
349	581	1079
350	583	1078
351	585	1077
352	586	1075
353	588	1074
354	591	1074
355	593	1073
356	595	1071
357	596	1070
358	598	1069
359	600	1067
360	602	1066
361	604	1065
362	606	1064
363	608	1062
364	610	1061
365	612	1060
366	616	1062
367	619	1064
368	623	1066
369	626	1066
370	628	1065
371	630	1064
372	632	1062
373	634	1061
374	635	1059
375	637	1058
376	639	1056
377	640	1054
378	642	1052
379	643	1050
380	645	1048
381	647	1047
382	648	1045
383	650	1043
384	652	1042
385	654	1040
386	655	1038
387	657	1036
388	658	1034
389	660	1032
390	661	1030
391	663	1028
392	664	1027
393	666	1025
394	668	1023
395	669	1021
396	671	1019
397	672	1017
398	674	1015
399	675	1013
400	677	1012
401	679	1010
402	680	1008
403	682	1006
404	683	1004
405	685	1002
406	687	1001
407	688	999
408	690	997
409	691	995
410	693	993
411	694	991
412	696	989
413	698	988
414	700	986
415	702	985
416	703	983
417	704	981
418	706	979
419	707	977
420	708	975
421	710	972
422	711	970
423	713	968
424	714	966
425	715	964
426	717	962
427	718	960
428	720	958
429	721	956
430	722	954
431	724	951
432	725	950
433	726	948
434	728	946
435	729	943
436	731	941
437	732	939
438	733	937
439	735	935
440	736	933
441	737	931
442	739	929
443	740	927
444	741	925
445	743	923
446	744	921
447	746	919
448	747	917
449	748	915
450	750	913
451	751	911
452	752	909
453	754	907
454	755	905
455	756	903
456	758	900
457	759	898
458	760	896
459	762	894
460	763	892
461	764	890
462	766	889
463	768	887
464	769	885
465	770	883
466	772	881
467	773	879
468	774	877
469	775	875
470	777	873
471	778	871
472	780	869
473	781	867
474	782	865
475	784	863
476	785	861
477	786	859
478	788	857
479	789	855
480	790	853
481	792	851
482	793	849
483	794	847
484	796	845
485	797	843
486	799	841
487	800	839
488	801	837
489	802	835
490	804	833
491	805	831
492	806	829
493	808	828
494	809	826
495	811	824
496	812	822
497	813	820
498	815	818
499	816	816
500	817	814
501	819	812
502	820	811
503	822	809
504	823	807
505	824	805
506	826	803
507	827	801
508	828	799
509	830	797
510	831	795
511	832	793
512	834	792
513	835	790
514	836	788
515	838	786
516	839	784
517	841	782
518	842	781
519	844	779
520	845	777
521	847	776
522	849	774
523	853	774
524	855	774
525	859	774
526	863	775
527	867	775
528	870	774
529	873	774
530	877	774
531	881	775
532	883	773
533	885	772
534	887	770
535	889	769
536	892	769
537	894	768
538	897	767
539	898	765
540	900	764
541	902	762
542	904	761
543	907	761
544	911	760
545	913	759
546	914	757
547	916	755
548	920	755
549	922	755
550	926	755
551	929	754
552	930	752
553	932	750
554	934	749
555	937	748
556	940	747
557	943	747
558	945	745
559	946	744
560	948	742
561	950	741
562	953	740
563	955	738
564	957	737
565	959	735
566	960	733
567	962	731
568	963	729
569	965	728
570	967	726
571	969	725
572	971	724
573	973	722
574	975	721
575	977	719
576	979	718
577	983	717
578	986	716
579	988	715
580	990	714
581	992	712
582	994	711
583	996	709
584	999	709
585	1003	709
586	1006	707
587	1007	706
588	1009	704
589	1011	703
590	1014	702
591	1017	701
592	1020	700
593	1022	698
594	1024	697
595	1026	695
596	1029	695
597	1033	694
598	1036	693
599	1038	692
600	1040	691
601	1043	690
602	1046	688
603	1049	687
604	1051	686
605	1053	684
606	1054	683
607	1056	681
608	1059	680
609	1062	679
610	1065	678
611	1067	676
612	1068	674
613	1070	673
614	1072	671
615	1076	671
616	1079	670
617	1081	668
618	1083	666
619	1084	664
620	1086	662
621	1087	661
622	1090	659
623	1091	657
624	1094	656
625	1096	655
626	1098	653
627	1100	651
628	1102	650
629	1103	648
630	1106	647
631	1108	645
632	1111	644
633	1113	642
634	1115	641
635	1116	639
636	1118	637
637	1121	636
638	1124	635
639	1126	633
640	1127	631
641	1129	629
642	1131	628
643	1133	626
644	1135	624
645	1137	623
646	1140	622
647	1142	620
648	1144	619
649	1146	617
650	1148	615
651	1150	614
652	1153	612
653	1155	611
654	1157	609
655	1159	608
656	1161	606
657	1163	604
658	1164	602
659	1165	600
660	1168	599
661	1169	597
662	1171	595
663	1173	593
664	1174	591
665	1176	589
666	1177	587
667	1178	585
668	1180	583
669	1181	581
670	1184	581
671	1186	579
672	1188	577
673	1190	575
674	1191	573
675	1192	571
676	1194	569
677	1195	567
678	1196	565
679	1198	564
680	1200	562
681	1202	560
682	1204	558
683	1205	556
684	1206	554
685	1208	552
686	1209	551
687	1210	549
688	1212	547
689	1214	545
690	1216	543
691	1218	542
692	1219	540
693	1221	538
694	1222	536
695	1223	534
696	1225	532
697	1226	530
698	1227	528
699	1229	527
700	1231	525
701	1233	523
702	1234	521
703	1236	519
704	1237	517
705	1238	515
706	1240	513
707	1241	512
708	1242	510
709	1246	508
710	1247	507
711	1249	505
712	1251	503
713	1252	501
714	1253	499
715	1255	497
716	1256	495
717	1257	494
718	1259	492
719	1260	490
720	1262	488
721	1264	486
722	1265	485
723	1267	483
724	1268	481
725	1270	479
726	1271	477
727	1273	475
728	1274	473
729	1276	472
730	1278	470
731	1279	468
732	1281	466
733	1283	464
734	1284	463
735	1285	461
736	1286	459
737	1288	457
738	1289	455
739	1291	453
740	1292	451
741	1294	450
742	1296	448
743	1297	446
744	1299	444
745	1301	442
746	1302	441
747	1303	439
748	1304	437
749	1306	435
750	1309	434
751	1310	432
752	1312	430
753	1314	428
754	1315	426
755	1316	424
756	1318	423
757	1319	421
758	1320	419
759	1322	417
760	1324	415
761	1326	414
762	1328	412
763	1329	410
764	1330	408
765	1332	406
766	1333	405
767	1334	403
768	1336	401
769	1339	400
770	1341	398
771	1343	396
772	1345	394
773	1346	393
774	1347	391
775	1349	389
776	1350	387
777	1351	385
778	1353	384
779	1355	382
780	1357	380
781	1358	378
782	1360	376
783	1361	375
784	1362	373
785	1364	371
786	1365	369
787	1366	367
788	1368	365
789	1370	364
790	1371	362
791	1374	360
792	1375	359
793	1376	357
794	1378	355
795	1379	353
796	1380	351
797	1382	349
798	1383	348
799	1385	346
800	1387	344
801	1388	342
802	1390	341
803	1391	339
804	1392	337
805	1394	335
806	1395	333
807	1397	331
808	1398	330
809	1400	328
810	1401	326
811	1402	324
812	1404	322
813	1405	321
814	1407	319
815	1408	317
816	1409	315
817	1411	313
818	1412	312
819	1414	310
820	1415	308
821	1416	306
822	1418	305
823	1419	303
824	1420	301
825	1422	299
826	1423	297
827	1424	296
828	1426	294
829	1427	292
830	1429	290
831	1430	288
832	1433	287
833	1434	285
834	1435	283
835	1437	281
836	1438	280
837	1439	278
838	1441	276
839	1442	274
840	1443	272
841	1445	271
842	1446	269
843	1448	267
844	1449	265
845	1450	264
846	1452	262
847	1453	260
848	1455	258
849	1456	257
850	1457	255
851	1459	253
852	1460	251
853	1462	249
854	1463	248
855	1465	246
856	1466	244
857	1467	242
858	1469	241
859	1470	239
860	1471	237
861	1473	235
862	1474	234
863	1476	232
864	1477	230
865	1478	228
866	1480	227
867	1481	225
868	1482	223
869	1484	221
870	1485	220
871	1487	218
872	1488	216
873	1490	214
874	1491	213
875	1492	211
876	1494	209
877	1495	207
878	1497	206
879	1498	204
880	1499	202
881	1501	200
882	1502	199
883	1504	197
884	1505	195
885	1506	193
886	1508	192
887	1509	190
888	1511	188
889	1512	186
890	1513	185
891	1515	183
892	1516	181
893	1517	179
894	1519	178
895	1520	176
896	1522	174
897	1523	173
898	1525	171
899	1526	169
900	1527	167
901	1529	166
902	1530	164
903	1532	162
904	1533	160
905	1534	159
906	1536	157
907	1537	155
908	1539	154
909	1540	152
910	1541	150
911	1543	148
912	1544	147
913	1546	145
914	1547	143
915	1548	142
916	1550	140
917	1551	138
918	1552	136
919	1554	135
920	1555	133
921	1557	131
922	1558	130
923	1559	128
924	1561	126
925	1562	124
926	1563	123
927	1565	121
928	1566	119
929	1567	118
930	1569	116
931	1570	114
932	1572	112
933	1573	111
934	1575	109
935	1576	107
936	1577	106
937	1579	104
938	1580	102
939	1582	100
940	1583	99
941	1584	97
942	1586	95
943	1587	94
944	1589	92
945	1590	90
946	1591	89
947	1593	87
948	1594	85
949	1596	84
950	1597	82
951	1598	80
952	1600	78
953	1601	77
954	1603	75
955	1604	73
956	1605	72
957	1607	70
958	1608	68
959	1610	67
960	1611	65
961	1613	63
962	1614	62
963	1615	60
964	1617	58
965	1618	56
966	1620	55
967	1621	53
968	1622	51
969	1624	50
970	1625	48
971	1627	46
972	1628	45
