iter	RMSE
0	0.3879850706
1	0.3852406697
2	0.3827774574
3	0.3810378543
4	0.3795701218
5	0.3775346456
6	0.3757544028
7	0.3745260127
8	0.3732266047
9	0.3716868311
10	0.3701763404
11	0.3692566962
12	0.3679047248
13	0.3666172426
14	0.3648359833
15	0.3633296463
16	0.3619360036
17	0.3609711913
18	0.3594353026
19	0.3581241303
20	0.3571347293
21	0.3561321723
22	0.3546315407
23	0.3534379048
24	0.3528508626
25	0.3517605483
26	0.3506825665
27	0.3497092095
28	0.348908072
29	0.3482661502
30	0.3475297359
31	0.3465701501
32	0.345569955
33	0.3447128445
34	0.3434580138
35	0.342902875
36	0.3421002851
37	0.3411825526
38	0.3402999557
39	0.3395722976
40	0.3385847964
41	0.3377758411
42	0.3370366491
43	0.3362634622
44	0.335350312
45	0.3347136364
46	0.3340237682
47	0.3328975225
48	0.3322624659
49	0.3314202692
50	0.3304347251
51	0.3296249668
52	0.3290965402
53	0.3283031546
54	0.3279264673
55	0.3270308976
56	0.3259078886
57	0.3248418549
58	0.3238670899
59	0.3234414514
60	0.3226978003
61	0.3218247637
62	0.3209542733
63	0.3204125741
64	0.3197196195
65	0.3189073191
66	0.3182505573
67	0.3177250029
68	0.3172552543
69	0.3164088682
70	0.3155275705
71	0.3149453656
72	0.3146400134
73	0.3141221459
74	0.3134521823
75	0.3127196772
76	0.3123830929
77	0.3120159262
78	0.311563739
79	0.310743765
80	0.3102426812
81	0.3096397497
82	0.3091883861
83	0.3085919319
84	0.3079935605
85	0.3071857775
86	0.3067914257
87	0.306277845
88	0.3060031593
89	0.3050043806
90	0.3045596108
91	0.3041614671
92	0.3034968398
93	0.3030465397
94	0.3028249322
95	0.3022798
96	0.3015345157
97	0.3010090308
98	0.3003358442
99	0.2996530383
100	0.2991687358
101	0.2986307122
102	0.2980014889
103	0.2973526424
104	0.2967122961
105	0.2959237804
106	0.2952446077
107	0.2948279022
108	0.2945645278
109	0.2941554218
110	0.2933953596
111	0.2931272995
112	0.2925361957
113	0.2920219332
114	0.2914598833
115	0.2911277676
116	0.2905884195
117	0.2898177023
118	0.2890411261
119	0.2885477484
120	0.2879270485
121	0.2873315382
122	0.2866764095
123	0.2861781575
124	0.2855489889
125	0.2849233363
126	0.2843322377
127	0.2839562175
128	0.2834820634
129	0.2830897525
130	0.282691379
131	0.2822847381
132	0.2818876552
133	0.2813378149
134	0.2809730836
135	0.2805708152
136	0.2803882886
137	0.2800204491
138	0.279761309
139	0.2797002551
140	0.2794341873
141	0.2791640822
142	0.2783233231
143	0.2775181301
144	0.2769262658
145	0.2768750385
146	0.276621057
147	0.276143298
148	0.2756629433
149	0.2752992623
150	0.2749742638
151	0.2746009487
152	0.27417744
153	0.2735747541
154	0.2728932217
155	0.2724035843
156	0.2716834466
157	0.2712357223
158	0.2708842129
159	0.2705813092
160	0.2703457027
161	0.2697175582
162	0.2689847384
163	0.2684048756
164	0.2678218508
165	0.2674014348
166	0.2668434608
167	0.2666568986
168	0.2661857971
169	0.2657212969
170	0.2654018687
171	0.264993926
172	0.2644669647
173	0.2640265888
174	0.263962398
175	0.2634216668
176	0.2627418856
177	0.2622587035
178	0.2617621951
179	0.2611377407
180	0.2603604493
181	0.2597863237
182	0.2592617542
183	0.2586173356
184	0.2578342802
185	0.2572484781
186	0.25681998
187	0.2561927362
188	0.2556235909
189	0.255133253
190	0.2546947366
191	0.2541284486
192	0.2540574472
193	0.2535694934
194	0.2534249822
195	0.2529215442
196	0.2523512121
197	0.2518560605
198	0.2512962492
199	0.2506143412
200	0.2499567522
201	0.2491237228
202	0.2489579445
203	0.248433477
204	0.2483429521
205	0.2477823153
206	0.2476990326
207	0.247058157
208	0.2463411732
209	0.2459305072
210	0.2453215822
211	0.2446679037
212	0.2439439698
213	0.2438598045
214	0.2432442313
215	0.2425871593
216	0.242009478
217	0.2410951163
218	0.2409830185
219	0.2403951851
220	0.2398072991
221	0.2396627088
222	0.2389934959
223	0.2383499061
224	0.2382068677
225	0.2375785241
226	0.2371206271
227	0.2364860381
228	0.2359218495
229	0.235476525
230	0.2350673868
231	0.2346592947
