iter	Passed	Remaining
0	2	2590
1	4	2427
2	7	2363
3	9	2350
4	11	2334
5	13	2299
6	16	2280
7	18	2273
8	20	2273
9	22	2272
10	25	2269
11	27	2262
12	29	2255
13	31	2245
14	34	2248
15	36	2245
16	38	2246
17	41	2264
18	44	2273
19	46	2269
20	48	2261
21	50	2252
22	53	2259
23	55	2261
24	57	2257
25	60	2254
26	62	2254
27	64	2252
28	67	2246
29	69	2254
30	71	2249
31	74	2241
32	76	2233
33	78	2228
34	80	2224
35	83	2225
36	85	2225
37	87	2221
38	90	2219
39	92	2213
40	94	2211
41	96	2206
42	99	2205
43	101	2207
44	103	2205
45	106	2200
46	108	2198
47	110	2196
48	112	2191
49	115	2190
50	117	2190
51	119	2187
52	122	2186
53	124	2182
54	126	2177
55	129	2176
56	131	2175
57	133	2171
58	135	2168
59	138	2166
60	140	2161
61	142	2159
62	145	2156
63	147	2153
64	149	2151
65	151	2148
66	154	2146
67	156	2144
68	158	2140
69	161	2139
70	163	2138
71	165	2134
72	167	2130
73	170	2128
74	172	2125
75	174	2122
76	177	2124
77	179	2121
78	181	2116
79	183	2111
80	185	2109
81	188	2106
82	190	2104
83	192	2102
84	194	2098
85	197	2096
86	199	2094
87	201	2092
88	204	2090
89	206	2088
90	208	2085
91	211	2083
92	213	2080
93	215	2077
94	217	2075
95	220	2072
96	222	2070
97	224	2068
98	226	2065
99	229	2062
100	231	2060
101	233	2056
102	235	2053
103	238	2052
104	240	2050
105	242	2047
106	245	2045
107	247	2042
108	249	2039
109	251	2038
110	254	2035
111	256	2033
112	258	2031
113	261	2028
114	263	2025
115	264	2015
116	266	2013
117	268	2009
118	271	2007
119	273	2003
120	275	2000
121	277	1997
122	279	1993
123	281	1989
124	284	1988
125	286	1985
126	288	1981
127	290	1978
128	292	1975
129	294	1971
130	296	1968
131	299	1967
132	301	1964
133	303	1960
134	305	1957
135	307	1954
136	309	1951
137	311	1948
138	314	1945
139	316	1942
140	318	1940
141	320	1937
142	322	1934
143	324	1931
144	327	1928
145	329	1925
146	331	1923
147	333	1920
148	335	1917
149	337	1914
150	340	1911
151	342	1908
152	344	1905
153	346	1902
154	348	1900
155	350	1897
156	352	1894
157	354	1891
158	357	1888
159	359	1886
160	361	1884
161	363	1881
162	365	1879
163	368	1876
164	370	1873
165	372	1870
166	374	1868
167	376	1865
168	378	1863
169	380	1860
170	383	1857
171	385	1854
172	387	1851
173	389	1849
174	391	1846
175	393	1844
176	395	1841
177	398	1838
178	400	1835
179	402	1833
180	404	1830
181	406	1828
182	408	1825
183	411	1822
184	413	1820
185	415	1817
186	417	1814
187	419	1812
188	421	1810
189	424	1807
190	426	1805
191	428	1802
192	430	1799
193	432	1797
194	434	1794
195	436	1792
196	439	1789
197	441	1786
198	443	1784
199	445	1781
200	447	1779
201	449	1777
202	452	1774
203	454	1772
204	456	1769
205	458	1766
206	460	1764
207	462	1761
208	464	1759
209	467	1756
210	469	1754
211	471	1751
212	473	1749
213	475	1746
214	477	1743
215	479	1741
216	482	1739
217	484	1737
218	486	1734
219	488	1732
220	490	1730
221	492	1727
222	495	1725
223	497	1723
224	499	1720
225	501	1718
226	503	1715
227	505	1713
228	508	1711
229	510	1708
230	512	1706
231	514	1703
232	516	1701
233	519	1699
234	521	1696
235	523	1694
236	525	1691
237	527	1689
238	529	1686
239	531	1684
240	533	1681
241	536	1678
242	538	1676
243	540	1674
244	542	1672
245	544	1669
246	546	1667
247	549	1665
248	551	1662
249	553	1660
250	555	1657
251	557	1655
252	559	1653
253	562	1650
254	564	1648
255	566	1645
256	568	1643
257	570	1641
258	572	1639
259	575	1636
260	577	1634
261	579	1631
262	581	1629
263	583	1627
264	585	1624
265	588	1622
266	590	1620
267	592	1617
268	594	1614
269	596	1612
270	598	1610
271	600	1607
272	603	1605
273	605	1603
274	607	1601
275	609	1599
276	611	1596
277	613	1594
278	616	1591
279	618	1590
280	620	1588
281	623	1587
282	625	1584
283	627	1582
284	629	1580
285	632	1578
286	634	1576
287	636	1574
288	638	1571
289	641	1569
290	643	1567
291	645	1564
292	647	1562
293	649	1560
294	651	1557
295	653	1555
296	656	1553
297	658	1551
298	660	1549
299	663	1547
300	665	1545
301	667	1543
302	670	1542
303	672	1539
304	674	1537
305	677	1535
306	679	1533
307	681	1531
308	683	1529
309	686	1527
310	688	1524
311	690	1523
312	692	1521
313	695	1519
314	697	1517
315	699	1515
316	702	1513
317	704	1511
318	706	1509
319	709	1507
320	711	1505
321	713	1502
322	716	1501
323	718	1499
324	720	1497
325	723	1495
326	725	1493
327	727	1491
328	730	1489
329	732	1486
330	734	1484
331	736	1482
332	739	1480
333	741	1479
334	744	1478
335	746	1476
336	749	1474
337	751	1472
338	753	1470
339	756	1468
340	758	1466
341	761	1464
342	763	1462
343	765	1460
344	767	1458
345	770	1455
346	772	1454
347	774	1451
348	777	1449
349	779	1447
350	781	1445
351	783	1442
352	786	1440
353	788	1438
354	790	1436
355	792	1434
356	795	1432
357	797	1430
358	800	1428
359	802	1426
360	804	1424
361	806	1422
362	809	1419
363	811	1417
364	813	1415
365	815	1412
366	817	1410
367	819	1408
368	822	1405
369	824	1403
370	826	1401
371	828	1399
372	831	1396
373	833	1394
374	835	1392
375	837	1390
376	839	1387
377	841	1385
378	843	1382
379	846	1380
380	848	1378
381	850	1375
382	852	1373
383	854	1370
384	856	1368
385	858	1366
386	861	1363
387	863	1361
388	865	1359
389	867	1356
390	869	1354
391	871	1352
392	873	1349
393	876	1347
394	878	1345
395	880	1343
396	882	1340
397	885	1338
398	887	1336
399	889	1334
400	891	1331
401	894	1330
402	896	1327
403	898	1325
404	900	1323
405	903	1321
406	905	1319
407	907	1317
408	909	1314
409	912	1312
410	914	1310
411	916	1308
412	919	1306
413	921	1303
414	923	1301
415	925	1299
416	928	1297
417	930	1295
418	932	1293
419	935	1291
420	937	1289
421	940	1287
422	943	1286
423	945	1284
424	948	1283
425	951	1281
426	953	1280
427	956	1278
428	959	1276
429	961	1275
430	964	1273
431	966	1271
432	969	1269
433	972	1267
434	974	1265
435	977	1263
436	979	1262
437	982	1260
438	984	1258
439	987	1256
440	989	1254
441	991	1252
442	994	1250
443	996	1247
444	998	1245
445	1001	1243
446	1003	1241
447	1005	1239
448	1008	1237
449	1010	1234
450	1012	1232
451	1014	1230
452	1017	1228
453	1019	1226
454	1021	1223
455	1023	1221
456	1026	1219
457	1028	1217
458	1030	1214
459	1033	1212
460	1035	1210
461	1037	1208
462	1039	1205
463	1041	1203
464	1044	1201
465	1046	1198
466	1048	1196
467	1050	1194
468	1053	1192
469	1055	1189
470	1057	1187
471	1059	1185
472	1061	1182
473	1063	1180
474	1066	1178
475	1068	1176
476	1070	1173
477	1072	1171
478	1075	1169
479	1077	1167
480	1079	1164
481	1081	1162
482	1083	1160
483	1085	1157
484	1087	1155
485	1090	1152
486	1092	1150
487	1094	1148
488	1096	1145
489	1098	1143
490	1100	1141
491	1102	1138
492	1105	1136
493	1107	1134
494	1109	1131
495	1111	1129
496	1113	1127
497	1115	1124
498	1118	1122
499	1120	1120
500	1122	1118
501	1124	1115
502	1126	1113
503	1128	1111
504	1131	1108
505	1133	1106
506	1135	1104
507	1138	1102
508	1140	1099
509	1142	1097
510	1144	1095
511	1146	1093
512	1149	1091
513	1151	1088
514	1153	1086
515	1155	1084
516	1157	1081
517	1160	1079
518	1162	1077
519	1164	1074
520	1166	1072
521	1168	1070
522	1171	1068
523	1173	1065
524	1175	1063
525	1177	1061
526	1179	1058
527	1181	1056
528	1184	1054
529	1186	1051
530	1188	1049
531	1190	1047
532	1192	1044
533	1194	1042
534	1197	1040
535	1199	1038
536	1201	1035
537	1203	1033
538	1205	1031
539	1207	1028
540	1209	1026
541	1212	1024
542	1214	1021
543	1216	1019
544	1218	1017
545	1220	1015
546	1222	1012
547	1225	1010
548	1227	1008
549	1229	1005
550	1231	1003
551	1233	1001
552	1235	998
553	1237	996
554	1240	994
555	1242	992
556	1244	989
557	1246	987
558	1249	985
559	1251	983
560	1253	981
561	1255	978
562	1258	976
563	1260	974
564	1263	972
565	1265	970
566	1267	968
567	1270	966
568	1272	963
569	1274	961
570	1277	959
571	1279	957
572	1281	954
573	1283	952
574	1286	950
575	1288	948
576	1290	946
577	1293	944
578	1295	941
579	1297	939
580	1300	937
581	1302	935
582	1304	933
583	1306	930
584	1309	928
585	1311	926
586	1314	924
587	1316	922
588	1320	921
589	1322	919
590	1325	917
591	1328	915
592	1330	913
593	1333	911
594	1335	909
595	1338	907
596	1341	905
597	1343	903
598	1346	901
599	1349	899
600	1351	897
601	1354	895
602	1356	893
603	1359	891
604	1362	889
605	1364	887
606	1367	885
607	1369	883
608	1372	881
609	1374	878
610	1377	876
611	1379	874
612	1382	872
613	1384	870
614	1387	868
615	1389	866
616	1391	864
617	1394	861
618	1396	859
619	1399	857
620	1401	855
621	1404	853
622	1407	851
623	1409	849
624	1412	847
625	1414	845
626	1417	843
627	1419	841
628	1422	838
629	1424	836
630	1427	834
631	1430	832
632	1432	830
633	1435	828
634	1437	826
635	1440	824
636	1442	822
637	1445	820
638	1447	817
639	1450	815
640	1452	813
641	1455	811
642	1457	809
643	1460	807
644	1462	805
645	1465	803
646	1467	800
647	1470	798
648	1473	796
649	1476	794
650	1478	792
651	1481	790
652	1483	788
653	1486	786
654	1488	783
655	1490	781
656	1493	779
657	1495	777
658	1498	775
659	1501	773
660	1503	771
661	1506	769
662	1509	767
663	1511	764
664	1514	762
665	1516	760
666	1519	758
667	1521	756
668	1523	754
669	1526	751
670	1529	749
671	1531	747
672	1534	745
673	1536	743
674	1539	741
675	1541	738
676	1544	736
677	1546	734
678	1548	732
679	1550	729
680	1553	727
681	1556	725
682	1558	723
683	1560	721
684	1563	718
685	1565	716
686	1568	714
687	1570	712
688	1573	710
689	1575	708
690	1578	705
691	1580	703
692	1582	701
693	1585	698
694	1587	696
695	1590	694
696	1593	692
697	1595	690
698	1598	688
699	1600	686
700	1603	683
701	1605	681
702	1607	679
703	1610	677
704	1612	674
705	1615	672
706	1617	670
707	1619	668
708	1622	665
709	1624	663
710	1627	661
711	1629	659
712	1631	656
713	1634	654
714	1636	652
715	1639	650
716	1641	648
717	1644	645
718	1646	643
719	1648	641
720	1651	638
721	1653	636
722	1656	634
723	1658	632
724	1661	630
725	1663	627
726	1665	625
727	1668	623
728	1670	621
729	1673	618
730	1675	616
731	1677	614
732	1680	611
733	1682	609
734	1684	607
735	1687	605
736	1689	603
737	1692	600
738	1694	598
739	1697	596
740	1699	594
741	1702	591
742	1704	589
743	1706	587
744	1709	585
745	1711	582
746	1713	580
747	1715	578
748	1718	575
749	1720	573
750	1722	571
751	1724	568
752	1726	566
753	1729	564
754	1731	561
755	1733	559
756	1735	557
757	1737	554
758	1739	552
759	1742	550
760	1744	547
761	1746	545
762	1748	543
763	1750	540
764	1752	538
765	1755	536
766	1757	533
767	1759	531
768	1761	529
769	1763	526
770	1766	524
771	1768	522
772	1770	519
773	1772	517
774	1775	515
775	1777	512
776	1779	510
777	1781	508
778	1783	506
779	1786	503
780	1788	501
781	1790	499
782	1792	496
783	1795	494
784	1797	492
785	1799	489
786	1801	487
787	1804	485
788	1806	483
789	1808	480
790	1811	478
791	1813	476
792	1815	473
793	1817	471
794	1820	469
795	1822	467
796	1824	464
797	1826	462
798	1829	460
799	1831	457
800	1833	455
801	1836	453
802	1838	450
803	1840	448
804	1842	446
805	1844	444
806	1847	441
807	1849	439
808	1851	437
809	1853	434
810	1856	432
811	1858	430
812	1860	427
813	1863	425
814	1865	423
815	1867	421
816	1869	418
817	1871	416
818	1874	414
819	1876	411
820	1878	409
821	1880	407
822	1883	405
823	1885	402
824	1887	400
825	1890	398
826	1892	395
827	1895	393
828	1897	391
829	1900	389
830	1902	386
831	1905	384
832	1907	382
833	1909	380
834	1912	377
835	1915	375
836	1917	373
837	1920	371
838	1922	368
839	1924	366
840	1927	364
841	1929	362
842	1931	359
843	1934	357
844	1936	355
845	1938	352
846	1940	350
847	1943	348
848	1945	346
849	1947	343
850	1950	341
851	1952	339
852	1955	336
853	1957	334
854	1959	332
855	1962	330
856	1965	327
