Sınıf 9 Notu,Sınıf 10 Notu,Sınıf 11 Notu,pas1,pas2,pas5,pas7,pas10,pas13,pas15,pas16,pas18,pas20,pas23,pas24,pas25,pas26,pas29,pas32,pas33,pas34,pas37,pas38,pas39,pas40,CE-AC,lst,pass,Not Ortalaması aps
3.0,3.431888544891641,4.098290598290598,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,-13.0,3,1,6
2.0,3.431888544891641,4.098290598290598,3.0,4.0,4.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,32.0,2,1,4
2.0,3.431888544891641,4.098290598290598,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2,1,4
3.0,3.431888544891641,4.098290598290598,3.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,-18.0,3,1,6
1.0,3.431888544891641,4.098290598290598,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,-4.0,4,0,2
4.0,3.431888544891641,4.098290598290598,1.0,2.0,4.0,1.0,2.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,-27.0,3,2,8
3.0,3.431888544891641,4.098290598290598,2.0,2.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,5.0,2.0,-7.0,4,2,6
3.0,3.431888544891641,4.098290598290598,1.0,3.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,-7.0,3,2,6
2.0,3.431888544891641,4.098290598290598,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,5.0,1.0,5.0,3.0,1.0,2.0,1.0,5.0,2.0,-14.0,3,2,4
3.0,3.431888544891641,4.098290598290598,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,1.0,-11.0,3,1,6
2.0,3.431888544891641,4.098290598290598,1.0,3.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,-4.0,3,2,4
3.0,3.431888544891641,4.098290598290598,2.0,1.0,4.0,3.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,-26.0,3,2,6
4.0,3.431888544891641,4.098290598290598,1.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,-21.0,4,2,8
2.0,3.431888544891641,4.098290598290598,3.0,2.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,-5.0,4,1,4
