iter	Passed	Remaining
0	1	1448
1	2	1264
2	3	1210
3	4	1194
4	5	1180
5	7	1177
6	8	1162
7	9	1148
8	10	1146
9	11	1139
10	12	1137
11	13	1131
12	14	1124
13	15	1122
14	17	1117
15	18	1115
16	19	1110
17	20	1106
18	21	1111
19	22	1103
20	23	1095
21	24	1090
22	25	1085
23	26	1078
24	27	1076
25	28	1070
26	29	1065
27	30	1061
28	31	1058
29	32	1044
30	33	1039
31	34	1036
32	35	1033
33	36	1034
34	37	1030
35	38	1027
36	39	1025
37	40	1024
38	41	1020
39	42	1017
40	43	1014
41	44	1011
42	45	1011
43	46	1009
44	47	1007
45	48	1004
46	49	1002
47	51	1011
48	52	1009
49	52	1006
50	53	1003
51	54	1002
52	56	1000
53	57	998
54	57	995
55	58	993
56	59	991
57	60	989
58	61	988
59	62	985
60	64	985
61	65	984
62	66	982
63	67	980
64	68	979
65	69	977
66	70	975
67	71	974
68	72	972
69	73	971
70	74	970
71	75	968
72	76	968
73	77	967
74	78	966
75	79	965
76	80	964
77	81	963
78	82	962
79	83	961
80	84	960
81	85	959
82	86	958
83	87	957
84	88	955
85	89	954
86	90	952
87	91	951
88	92	949
89	93	948
90	94	947
91	95	945
92	96	944
93	97	943
94	98	942
95	99	941
96	100	939
97	101	937
98	102	937
99	104	936
100	105	935
101	106	934
102	107	936
103	108	936
104	109	934
105	110	933
106	111	932
107	112	931
108	113	930
109	114	929
110	115	928
111	116	926
112	118	926
113	119	925
114	120	924
115	121	923
116	122	922
117	123	922
118	124	921
119	125	920
120	126	919
121	127	918
122	128	917
123	129	916
124	130	915
125	131	914
126	132	913
127	133	911
128	134	910
129	135	909
130	137	909
131	138	909
132	139	910
133	140	909
134	141	908
135	142	907
136	143	906
137	145	907
138	146	906
139	147	905
140	148	903
141	149	902
142	150	901
143	151	900
144	152	899
145	153	898
146	154	897
147	155	896
148	156	895
149	157	893
150	158	892
151	159	891
152	160	890
153	161	889
154	162	888
155	163	887
156	165	885
157	166	884
158	166	883
159	168	882
160	169	881
161	170	880
162	171	878
163	172	877
164	173	876
165	174	874
166	175	873
167	176	872
168	177	871
169	178	870
170	179	869
171	180	867
172	181	866
173	182	865
174	183	864
175	184	863
176	185	862
177	186	861
178	187	860
179	188	859
180	189	858
181	190	857
182	191	856
183	192	855
184	193	853
185	194	852
186	195	851
187	196	850
188	197	849
189	198	848
190	199	847
191	201	846
192	202	845
193	203	844
194	204	843
195	205	842
196	206	840
197	207	839
198	208	838
199	209	837
200	210	836
201	211	835
202	212	834
203	213	833
204	214	831
205	215	830
206	216	829
207	217	828
208	218	827
209	219	826
210	221	827
211	222	827
212	223	826
213	225	826
214	226	826
215	227	825
216	228	825
217	229	824
218	231	823
219	232	823
220	233	822
221	234	822
222	235	821
223	236	820
224	238	820
225	239	820
226	240	819
227	241	818
228	243	818
229	244	818
230	245	817
231	246	817
232	248	816
233	249	816
234	250	815
235	251	814
236	252	813
237	253	812
238	254	811
239	255	810
240	257	809
241	258	808
242	259	807
243	260	806
244	261	805
245	262	804
246	263	803
247	264	802
248	265	801
249	266	800
250	267	799
251	268	798
252	269	797
253	271	796
254	272	794
255	273	793
256	274	792
257	275	791
258	276	790
259	277	789
260	278	788
261	279	787
262	280	786
263	281	785
264	282	784
265	283	783
266	284	781
267	285	780
268	286	779
269	288	778
270	289	777
271	290	776
272	291	775
273	292	774
274	293	773
275	294	772
276	295	771
277	296	770
278	297	769
279	298	768
280	299	766
281	300	765
282	301	764
283	302	763
284	304	762
285	305	761
286	306	760
287	307	759
288	308	758
289	309	757
290	310	756
291	311	755
292	312	754
293	313	752
294	314	751
295	315	750
296	316	749
297	317	748
298	318	747
299	319	746
300	321	745
301	322	744
302	323	743
303	324	742
304	325	741
305	326	740
306	327	739
307	328	737
308	329	736
309	330	735
310	331	734
311	332	733
312	333	732
313	334	731
314	335	730
315	337	729
316	338	728
317	339	727
318	340	726
319	341	725
320	342	724
321	343	722
322	344	721
323	345	720
324	346	719
325	347	718
326	348	717
327	349	716
328	350	715
329	351	714
330	352	712
331	353	711
332	354	710
333	356	709
334	357	708
335	358	707
336	359	706
337	360	705
338	361	704
339	362	703
340	363	703
341	365	703
342	366	702
343	368	702
344	369	701
345	370	700
346	372	700
347	373	699
348	374	699
349	375	698
350	377	697
351	378	696
352	379	695
353	380	694
354	381	693
355	382	692
356	384	691
357	385	690
358	386	689
359	387	688
360	388	687
361	389	686
362	390	685
363	392	685
364	393	683
365	394	682
366	395	681
367	396	680
368	397	679
369	398	678
370	399	677
371	400	676
372	401	675
373	402	674
374	403	673
375	404	671
376	406	671
377	407	670
378	408	669
379	409	668
380	410	667
381	411	666
382	413	665
383	414	664
384	415	663
385	416	662
386	417	661
387	418	660
388	420	659
389	421	658
390	422	658
391	423	657
392	424	656
393	426	655
394	427	654
395	428	653
396	429	652
397	430	651
398	431	650
399	432	649
400	434	648
401	435	647
402	436	646
403	437	645
404	438	644
405	439	643
406	441	642
407	442	641
408	443	640
409	444	639
410	445	639
411	447	638
412	448	637
413	449	636
414	450	635
415	451	634
416	452	633
417	454	632
418	455	631
419	456	630
420	457	629
421	458	628
422	459	627
423	461	626
424	462	625
425	463	624
426	464	623
427	465	622
428	466	621
429	468	620
430	469	619
431	470	618
432	471	617
433	472	616
434	473	615
435	475	614
436	476	613
437	477	612
438	478	611
439	479	610
440	480	609
441	481	608
442	483	607
443	484	606
444	485	605
445	486	604
446	487	603
447	488	602
448	490	601
449	491	600
450	492	599
451	493	598
452	495	597
453	496	596
454	497	595
455	498	594
456	499	593
457	500	592
458	501	591
459	503	590
460	504	589
461	505	588
462	506	587
463	508	586
464	509	585
465	510	584
466	511	583
467	512	582
468	513	581
469	514	580
470	516	579
471	517	578
472	518	577
473	519	576
474	520	575
475	521	574
476	523	573
477	524	572
478	525	571
479	526	570
480	527	569
481	528	568
482	530	567
483	531	566
484	532	565
485	533	564
486	534	563
487	535	562
488	537	561
489	538	560
490	539	559
491	540	558
492	541	557
493	542	556
494	544	555
495	545	553
496	546	552
497	547	551
498	548	550
499	549	549
500	550	548
501	552	547
502	553	546
503	554	545
504	555	544
505	556	543
506	557	542
507	558	540
508	559	539
509	560	538
510	561	537
511	563	536
512	564	535
513	565	534
514	566	533
515	567	532
516	568	531
517	569	529
518	570	528
519	571	527
520	572	526
521	573	525
522	574	524
523	575	523
524	576	522
525	578	520
526	579	519
527	580	518
528	581	517
529	582	516
530	583	515
531	584	514
532	585	513
533	586	511
534	587	510
535	588	509
536	589	508
537	591	507
538	592	506
539	593	505
540	594	504
541	595	503
542	596	502
543	597	500
544	598	499
545	599	498
546	600	497
547	601	496
548	603	495
549	604	494
550	605	493
551	606	492
552	607	490
553	608	489
554	609	488
555	610	487
556	611	486
557	612	485
558	613	484
559	614	483
560	615	481
561	616	480
562	618	479
563	619	478
564	620	477
565	621	476
566	622	475
567	623	474
568	624	473
569	625	471
570	626	470
571	627	469
572	628	468
573	629	467
574	631	466
575	632	465
576	633	464
577	634	463
578	635	462
579	636	460
580	637	459
581	638	458
582	639	457
583	640	456
584	641	455
585	642	454
586	644	453
587	645	451
588	646	450
589	647	449
590	648	448
591	649	447
592	650	446
593	651	445
594	652	444
595	653	443
596	654	442
597	655	440
598	657	439
599	658	438
600	659	437
601	660	436
602	661	435
603	662	434
604	663	433
605	664	432
606	665	431
607	666	429
608	667	428
609	668	427
610	669	426
611	671	425
612	672	424
613	673	423
614	674	422
615	675	421
616	676	419
617	677	418
618	678	417
619	679	416
620	680	415
621	682	414
622	683	413
623	684	412
624	685	411
625	686	410
626	687	409
627	688	407
628	689	406
629	690	405
630	691	404
631	692	403
632	693	402
633	694	401
634	696	400
635	697	398
636	698	397
637	699	396
638	700	395
639	701	394
640	702	393
641	703	392
642	704	391
643	705	390
644	706	389
645	707	387
646	708	386
647	709	385
648	711	384
649	712	383
650	713	382
651	714	381
652	715	380
653	716	379
654	717	378
655	718	376
656	719	375
657	721	374
658	722	373
659	723	372
660	724	371
661	725	370
662	726	369
663	727	368
664	728	367
665	729	366
666	731	364
667	732	363
668	733	362
669	734	361
670	736	360
671	737	360
