iter	Passed	Remaining
0	2	2108
1	3	1882
2	5	1855
3	7	1799
4	8	1763
5	10	1749
6	12	1727
7	13	1718
8	15	1707
9	17	1703
10	18	1699
11	20	1696
12	22	1681
13	23	1675
14	25	1677
15	27	1676
16	28	1675
17	30	1672
18	32	1667
19	34	1668
20	35	1667
21	37	1661
22	39	1660
23	40	1654
24	42	1651
25	44	1650
26	45	1647
27	47	1646
28	49	1642
29	50	1639
30	52	1635
31	54	1638
32	56	1641
33	57	1636
34	59	1632
35	60	1629
36	62	1626
37	64	1622
38	65	1621
39	67	1621
40	69	1621
41	71	1621
42	72	1620
43	74	1618
44	76	1618
45	77	1616
46	78	1590
47	80	1589
48	81	1588
49	83	1587
50	85	1589
51	87	1588
52	88	1587
53	90	1586
54	92	1586
55	94	1584
56	95	1584
57	97	1582
58	99	1581
59	100	1579
60	102	1578
61	104	1578
62	105	1575
63	107	1574
64	109	1572
65	111	1572
66	112	1573
67	114	1572
68	116	1570
69	118	1568
70	119	1568
71	121	1567
72	123	1565
73	124	1563
74	127	1569
75	129	1571
76	130	1568
77	132	1566
78	134	1564
79	135	1563
80	137	1563
81	139	1561
82	141	1560
83	143	1559
84	144	1557
85	146	1556
86	148	1554
87	149	1552
88	151	1550
89	153	1549
90	154	1548
91	156	1548
92	158	1546
93	160	1544
94	161	1542
95	163	1541
96	165	1539
97	167	1537
98	168	1535
99	170	1534
100	172	1531
101	173	1530
102	175	1528
103	177	1527
104	179	1526
105	180	1523
106	182	1521
107	184	1520
108	185	1519
109	187	1516
110	189	1514
111	190	1513
112	192	1510
113	194	1508
114	195	1506
115	197	1505
116	199	1504
117	201	1503
118	202	1501
119	204	1499
120	206	1497
121	207	1495
122	209	1494
123	211	1493
124	213	1491
125	215	1495
126	217	1493
127	219	1492
128	220	1490
129	222	1489
130	224	1487
131	225	1485
132	227	1483
133	229	1481
134	231	1480
135	232	1478
136	234	1477
137	236	1475
138	237	1473
139	239	1471
140	241	1468
141	242	1462
