iter	RMSE
0	1224940.602
1	1188574.184
2	1156695.396
3	1124909.933
4	1094109.255
5	1061657.269
6	1032660.058
7	1006647.221
8	978530.2115
9	951898.385
10	926802.4253
11	905147.475
12	881821.4181
13	861631.0325
14	838754.4365
15	817525.622
16	797443.0392
17	778290.7138
18	760093.6565
19	742578.8832
20	725385.5986
21	709244.0457
22	694462.8337
23	679467.6983
24	665485.3903
25	652631.0279
26	638538.3571
27	625262.4985
28	612040.0202
29	601485.5936
30	590035.3767
31	580398.2626
32	569118.8509
33	560669.3699
34	550144.6193
35	539761.1662
36	530850.5598
37	522892.1528
38	513937.587
39	506529.5744
40	499623.8263
41	496458.5724
42	490239.0908
43	486927.103
44	481658.6657
45	478327.6018
46	471819.0744
47	468498.2413
48	464380.9218
49	460858.0694
50	457965.4254
51	454990.5862
52	452877.0569
53	446685.1083
54	440464.9863
55	436020.0158
56	433083.038
57	431176.2568
58	425560.529
59	422171.4171
60	420250.3963
61	418155.8489
62	416606.998
63	415118.7779
64	412108.9019
65	407702.645
66	406209.7175
67	404602.6985
68	402664.2621
69	398105.4473
70	396683.22
71	394811.2653
72	390206.3889
73	388187.9208
74	387103.6012
75	382404.3534
76	380934.4358
77	379197.7696
78	377861.3269
79	377005.0792
80	375394.2755
81	371337.2181
82	369048.113
83	367939.6619
84	365971.2609
85	364991.6053
86	363505.2614
87	360454.5189
88	359395.1481
89	355649.4818
90	354702.647
91	350746.8205
92	349490.365
93	348587.3867
94	345304.4374
95	344509.4661
96	343687.3242
97	342918.5479
98	342174.896
99	338433.647
100	336937.6133
101	333822.3446
102	333158.8139
103	332171.8825
104	331096.5842
105	330108.2213
106	326961.2253
107	325752.4058
108	324808.7713
109	324141.8692
110	323528.8094
111	322634.2873
112	319539.0783
113	317167.6331
114	316717.4331
115	315179.891
116	314418.1792
117	313607.5955
118	311210.6177
119	310798.5678
120	308117.9418
121	307456.5999
122	306786.0977
123	304738.586
124	304092.9862
125	302107.2913
126	300831.6422
127	300335.7419
128	299873.338
129	296927.2613
130	296246.2878
131	293554.2905
132	292762.0849
133	292169.4891
134	291467.3189
135	290612.6115
136	289405.5314
137	288053.0397
138	287681.4426
139	287093.7154
140	285708.815
141	284063.6693
142	282891.5553
143	281007.7703
144	280678.5625
145	279224.8335
146	278589.8927
147	277974.5921
148	277406.3158
149	276849.5898
150	276106.0916
151	274432.1052
152	273685.564
153	273268.5982
154	271777.8539
155	271414.1915
156	270942.3185
157	270470.4434
158	267580.4424
159	267227.7029
160	266632.8748
161	264855.16
162	264417.0232
163	263934.8017
164	262577.7734
165	262089.9595
166	261031.4095
167	260039.1022
168	258805.1256
169	256263.4385
170	255967.8625
171	255601.8871
172	255073.3087
173	253959.3041
174	253573.4576
175	251873.5417
176	251322.1138
177	250018.2518
178	248680.0242
179	247480.9888
180	246978.3842
181	245271.5061
182	244854.9131
183	244573.3639
184	242494.5445
185	240719.1397
186	238436.9709
187	237977.1166
188	237677.201
189	236141.9603
190	235701.7783
191	234438.4639
192	234172.6086
193	233889.3516
194	233602.021
195	232734.9066
196	232353.4603
197	231096.7517
198	229474.0077
199	228032.1862
200	226158.9109
201	225854.1648
202	224837.63
203	223512.0321
204	222494.5173
205	222264.0555
206	221039.8104
207	220816.6477
208	220598.4506
209	219604.9298
210	218460.1482
211	217772.6396
212	217560.3935
213	216491.5552
214	215341.8224
215	214204.5599
216	214000.0648
217	212845.7933
218	212650.7404
219	212128.6387
220	211227.5476
221	211037.1717
222	210058.3435
223	208477.3756
224	207100.6659
225	206165.0964
226	205605.9867
227	205128.8766
228	204301.4793
229	204055.6779
230	203877.1612
231	203098.5671
232	202125.7839
233	201057.0776
234	199901.3563
235	198771.9034
236	198596.1945
237	198426.0045
238	197491.9146
239	196728.1466
240	196560.1445
241	195664.9602
242	194879.9873
243	194715.2219
244	193968.2707
245	193806.9625
246	193067.725
247	192569.6287
248	191921.3951
249	191765.731
250	191592.0621
251	190954.3883
252	190369.0936
253	190218.9774
254	189044.4871
255	188896.9887
256	188752.0648
257	188284.1793
258	187710.9222
259	187568.7782
260	187393.941
261	186676.414
262	186026.6496
263	185451.1558
264	185313.5764
265	185179.0969
266	184763.9389
267	184612.5658
268	184086.7295
269	183957.107
270	183517.7869
271	183391.1413
272	182786.7174
273	182236.1547
274	181787.4554
275	181010.9852
276	180868.0489
277	180386.7911
278	179953.1403
279	179462.1507
280	179340.1979
281	179202.426
282	178401.6213
283	178284.2426
284	178169.5121
285	178038.9169
286	177928.6568
287	177581.5835
288	177163.3612
289	176421.443
290	176186.6308
291	176076.6755
292	175969.3429
293	175714.3544
294	175021.8906
295	174915.888
296	174461.5548
297	174028.009
298	173657.0783
299	173432.8224
300	173041.8471
301	172353.5066
302	172250.0491
303	171860.7707
304	171640.268
305	171537.9169
306	171437.8625
307	170638.7228
308	169953.3056
309	169722.758
310	169353.3461
311	169256.5201
312	169147.3577
313	168605.5957
314	168349.152
315	168114.9934
316	168021.0725
317	167421.1614
318	167328.9081
319	167023.7331
320	166933.6232
321	166714.1387
322	166625.47
323	165865.6245
324	165569.2473
325	165482.3296
326	165296.0577
327	164766.3958
328	164680.5206
329	163950.7903
330	163508.6358
331	163424.1941
332	163187.0377
333	162512.8202
334	161985.299
335	161700.5988
336	161543.8214
337	161132.8766
338	160903.7383
339	160578.0544
340	160240.2187
341	160158.3308
342	159913.1097
343	159758.1752
344	159670.3209
345	159082.4579
346	158995.9144
347	158911.3067
348	158828.5498
349	158747.2843
350	158667.4165
351	158589.4743
352	158512.7916
353	158437.5803
354	157929.412
355	157854.9856
356	157507.9535
357	157273.9757
358	157133.9859
359	157059.9698
360	156541.6746
361	156228.3426
362	155709.954
363	155399.5209
364	155009.259
365	154874.0056
366	154802.7027
367	154438.2408
368	153742.4232
369	153319.5641
370	153027.4955
371	152723.6804
372	152603.421
373	152373.7882
374	152303.4213
375	152234.4243
376	152117.3372
377	151823.7726
378	151574.4323
379	151114.9165
380	150735.6766
381	150426.256
382	149945.8663
383	149387.9977
384	149320.7056
385	149089.1692
386	148543.9124
387	148477.5617
388	148204.3241
389	147986.594
390	147507.4462
391	147390.7094
392	147321.3095
393	147146.869
394	147083.1339
395	147016.114
396	146593.0648
397	146492.5034
398	146300.4922
399	146067.3287
400	145981.4789
401	145915.7533
402	145691.9576
403	145408.94
404	145192.5272
405	144679.9554
406	144619.0786
407	144511.2851
408	144147.7118
409	143726.5296
410	143666.1748
411	143574.5094
412	143515.3908
413	143166.8531
414	142749.2505
415	142598.5293
416	142539.4617
417	142291.0157
418	142081.651
419	141663.9608
420	141448.6076
421	141375.2036
422	141318.1454
423	141226.504
424	141036.1853
425	140980.0146
426	140806.805
427	140624.9917
428	140543.5251
429	140382.3436
430	140326.8749
431	140165.8308
432	140110.9683
433	139698.6333
434	139597.4503
435	139543.1758
436	139430.1511
437	139046.3074
438	138992.3534
439	138939.0364
440	138735.0477
441	138682.4143
442	138206.425
443	138154.5265
444	137938.3286
445	137718.4154
446	137667.0652
447	137425.7837
448	137232.1513
449	137083.8538
450	137032.9575
451	136948.2889
452	136897.7366
453	136719.6717
454	136568.1653
455	136307.092
456	136257.5134
457	136110.6191
458	135734.5052
459	135588.2075
460	135538.8972
461	135421.6305
462	135346.361
463	135297.7614
464	135181.0347
465	134932.1576
466	134865.3273
467	134735.2247
468	134501.1405
469	134415.4626
470	134367.3546
471	134140.523
472	134092.7982
473	134010.1573
474	133963.0484
475	133916.3581
476	133816.199
477	133640.3139
478	133593.8892
479	133452.5683
480	133367.6096
481	133267.132
482	133220.8763
483	132969.2688
484	132905.9603
485	132676.1298
486	132437.7054
487	132392.1838
488	132183.4303
489	132138.2541
490	132088.5301
491	131880.7751
492	131807.7831
493	131701.557
494	131657.324
495	131552.2012
496	131374.3377
497	131316.6226
498	131272.7754
499	131068.7644
500	130969.9722
501	130505.1519
502	130261.0795
503	130217.7964
504	130100.99
505	130027.1705
506	129984.5537
507	129558.0501
508	129515.6408
509	129409.9542
510	129368.2234
511	129210.5339
512	129038.2278
513	128683.6942
514	128600.1996
515	128491.3573
516	128352.7073
517	128311.8261
518	128192.3265
519	127980.684
520	127900.1627
521	127527.6723
522	127487.5595
523	127413.7791
524	127298.0347
525	127258.6273
526	127114.2415
527	127045.2807
528	126844.4142
529	126805.312
530	126766.748
531	126706.691
532	126521.1804
533	126234.2517
534	126195.9141
535	126140.797
536	126039.1429
537	125894.1087
538	125797.3603
539	125653.7694
540	125604.3748
541	125368.9193
542	125247.1424
543	125209.6047
544	125033.544
545	124972.7971
546	124935.9349
547	124841.386
548	124757.6645
549	124564.9704
