iter	Passed	Remaining
0	7	7706
1	13	6973
2	19	6518
3	25	6236
4	30	6077
5	35	5959
6	41	5853
7	46	5753
8	51	5672
9	56	5628
10	62	5583
11	67	5553
12	72	5529
13	78	5495
14	83	5476
15	88	5466
16	94	5460
17	99	5449
18	104	5417
19	110	5406
20	115	5369
21	120	5352
22	125	5351
23	131	5332
24	135	5301
25	141	5288
26	146	5271
27	151	5260
28	156	5250
29	161	5223
30	166	5199
31	171	5181
32	176	5168
33	181	5154
34	186	5148
35	192	5158
36	198	5164
37	204	5170
38	210	5176
39	216	5190
40	221	5191
41	227	5197
42	234	5217
43	240	5218
44	245	5214
45	251	5208
46	256	5202
47	261	5194
48	267	5187
49	272	5175
50	277	5160
51	282	5148
52	287	5136
53	293	5134
54	298	5125
55	303	5114
56	308	5105
57	313	5095
58	318	5085
59	323	5075
60	328	5060
61	333	5048
62	338	5039
63	342	5011
64	347	4999
65	352	4992
66	357	4982
67	362	4972
68	367	4962
69	372	4954
70	377	4944
71	382	4935
72	388	4927
73	392	4916
74	398	4918
75	403	4909
76	408	4901
77	414	4897
78	419	4889
79	424	4878
80	429	4869
81	434	4861
82	439	4860
83	445	4852
84	450	4844
85	454	4835
86	459	4827
87	464	4818
88	469	4810
89	475	4803
90	480	4796
91	485	4794
92	490	4787
93	496	4781
94	501	4777
95	506	4769
96	511	4762
97	516	4754
98	521	4747
99	526	4739
100	531	4732
101	536	4724
102	541	4717
103	546	4709
104	551	4701
105	556	4693
106	561	4688
107	566	4680
108	571	4673
109	576	4665
110	581	4656
111	586	4652
112	592	4651
113	597	4644
114	602	4636
115	607	4629
116	612	4621
117	617	4612
118	622	4608
119	627	4600
120	632	4594
121	637	4588
122	641	4571
123	646	4566
124	651	4558
125	656	4552
126	661	4546
127	666	4539
128	671	4533
129	676	4527
130	681	4519
131	686	4516
132	691	4509
133	696	4501
134	701	4496
135	706	4488
136	711	4481
137	716	4474
138	721	4466
139	725	4459
140	731	4456
141	736	4451
142	741	4444
143	746	4438
144	751	4431
145	756	4424
146	761	4418
147	766	4411
148	771	4405
149	776	4399
150	781	4391
151	786	4387
152	791	4380
153	796	4373
154	801	4367
155	806	4360
156	810	4354
157	815	4347
158	821	4343
159	826	4337
160	830	4330
161	835	4324
162	841	4318
163	845	4311
164	850	4306
165	855	4300
166	860	4293
167	865	4287
168	871	4284
169	877	4282
170	882	4278
171	888	4275
172	894	4273
173	900	4272
174	905	4270
175	911	4268
176	917	4265
177	922	4262
178	928	4259
179	933	4254
