iter	Passed	Remaining
0	12	12133
1	22	11369
2	33	11267
3	44	11066
4	54	10927
5	65	10868
6	76	10843
7	87	10790
8	97	10790
9	108	10774
10	119	10728
11	130	10739
12	141	10707
13	151	10691
14	162	10662
15	172	10635
16	183	10620
17	194	10609
18	205	10595
19	216	10587
20	227	10591
21	237	10576
22	248	10569
23	260	10604
24	271	10585
25	282	10573
26	293	10579
27	304	10580
28	315	10570
29	327	10580
30	338	10567
31	349	10557
32	359	10545
33	370	10530
34	381	10527
35	393	10523
36	403	10514
37	414	10501
38	425	10488
39	436	10480
40	447	10475
41	459	10485
42	470	10478
43	482	10475
44	497	10551
45	515	10690
46	527	10688
47	538	10685
48	550	10676
49	561	10660
50	572	10652
51	583	10641
52	595	10633
53	606	10621
54	617	10609
55	628	10599
56	641	10607
57	653	10608
58	665	10610
59	677	10610
60	689	10609
61	700	10601
62	712	10594
63	723	10577
64	734	10564
65	745	10550
66	756	10536
67	767	10524
68	779	10515
69	790	10501
70	802	10502
71	813	10490
72	825	10480
73	836	10471
74	848	10460
75	859	10450
76	870	10436
77	882	10427
78	893	10411
79	904	10399
80	915	10384
81	926	10372
82	937	10355
83	948	10337
84	959	10326
85	970	10312
86	981	10297
87	992	10282
88	1003	10269
89	1018	10296
90	1037	10360
91	1048	10346
92	1059	10335
93	1070	10321
94	1082	10310
95	1093	10296
96	1104	10284
97	1115	10268
98	1127	10259
99	1138	10247
100	1150	10239
101	1161	10227
102	1173	10221
103	1185	10211
104	1196	10200
105	1207	10182
106	1218	10167
107	1229	10155
108	1241	10145
109	1252	10131
110	1263	10121
111	1275	10111
112	1286	10094
113	1297	10083
114	1308	10070
115	1319	10057
116	1330	10042
117	1341	10027
118	1352	10013
119	1363	9997
120	1374	9987
121	1386	9976
122	1397	9965
123	1408	9950
124	1419	9937
125	1430	9923
126	1442	9913
127	1453	9903
128	1464	9888
129	1475	9875
130	1486	9862
131	1497	9848
132	1508	9835
133	1519	9823
134	1531	9811
135	1544	9814
136	1560	9829
137	1576	9845
138	1587	9832
139	1597	9816
140	1609	9802
141	1620	9790
142	1631	9777
143	1642	9765
144	1654	9754
145	1665	9739
146	1675	9723
147	1686	9710
148	1698	9698
149	1709	9687
150	1722	9682
151	1733	9670
152	1744	9656
153	1755	9645
154	1766	9631
155	1777	9618
156	1788	9605
157	1800	9593
158	1810	9578
159	1821	9564
160	1832	9549
161	1843	9534
162	1853	9518
163	1864	9502
164	1874	9488
165	1885	9473
166	1896	9457
167	1906	9443
168	1918	9431
169	1929	9418
170	1940	9406
171	1951	9392
172	1961	9378
173	1972	9365
174	1983	9349
175	1994	9336
176	2004	9322
177	2015	9308
178	2026	9294
179	2037	9282
180	2053	9290
181	2073	9320
182	2084	9306
183	2095	9293
184	2106	9278
185	2116	9263
186	2127	9250
187	2138	9237
188	2149	9222
189	2160	9208
190	2170	9195
191	2182	9183
192	2193	9172
193	2205	9161
194	2216	9148
195	2227	9135
196	2238	9124
197	2250	9114
198	2261	9102
199	2272	9090
200	2283	9079
201	2294	9066
202	2306	9054
203	2317	9041
204	2328	9029
205	2339	9016
206	2349	9002
207	2360	8989
208	2372	8977
209	2383	8965
210	2394	8953
211	2405	8940
212	2416	8928
213	2427	8915
214	2438	8902
215	2449	8890
216	2460	8879
217	2471	8866
218	2482	8854
219	2493	8841
220	2504	8829
221	2516	8817
222	2527	8807
223	2538	8795
224	2549	8782
225	2561	8771
226	2575	8769
227	2592	8777
228	2605	8771
229	2616	8760
230	2627	8747
231	2638	8735
232	2649	8722
233	2660	8709
234	2671	8696
235	2682	8685
236	2693	8670
237	2704	8657
238	2714	8644
239	2726	8633
240	2737	8622
241	2749	8611
242	2761	8601
243	2772	8589
244	2783	8577
245	2794	8566
246	2806	8554
247	2816	8541
248	2827	8529
249	2839	8517
250	2850	8506
251	2861	8493
252	2872	8481
253	2883	8469
254	2894	8457
255	2905	8444
256	2916	8432
257	2927	8419
258	2938	8406
259	2948	8393
260	2959	8379
261	2970	8366
262	2981	8353
263	2992	8341
264	3003	8329
265	3014	8317
266	3024	8304
267	3035	8291
268	3046	8278
269	3057	8266
270	3068	8254
271	3079	8242
272	3094	8240
273	3109	8239
274	3125	8239
275	3136	8226
276	3147	8215
277	3158	8202
278	3169	8190
279	3180	8179
280	3192	8167
281	3203	8155
282	3213	8142
283	3224	8130
284	3236	8120
285	3247	8107
286	3258	8095
287	3270	8084
288	3281	8073
289	3292	8060
290	3303	8047
291	3313	8035
292	3325	8023
293	3336	8012
294	3347	8000
295	3358	7988
296	3369	7975
297	3380	7963
298	3391	7951
299	3402	7938
300	3413	7927
301	3424	7915
302	3435	7903
303	3446	7889
304	3457	7877
305	3468	7865
306	3479	7853
307	3490	7841
308	3501	7829
309	3511	7816
310	3523	7805
311	3534	7793
312	3545	7781
313	3556	7769
314	3567	7757
315	3577	7743
316	3588	7732
317	3599	7719
318	3610	7707
319	3622	7698
320	3637	7694
321	3655	7696
322	3666	7685
323	3678	7675
324	3689	7663
325	3701	7651
326	3712	7639
327	3723	7627
328	3734	7616
329	3745	7604
330	3756	7592
331	3767	7580
332	3778	7567
333	3788	7555
334	3799	7542
335	3810	7531
336	3821	7518
337	3832	7505
338	3843	7493
339	3854	7482
340	3865	7470
341	3876	7457
342	3887	7445
343	3897	7432
344	3908	7420
345	3919	7409
346	3931	7397
347	3942	7386
348	3953	7374
349	3964	7363
350	3976	7351
351	3987	7339
352	3997	7327
353	4008	7315
354	4019	7303
355	4030	7291
356	4041	7279
357	4052	7267
358	4064	7256
359	4075	7244
360	4086	7232
361	4097	7220
362	4108	7209
363	4119	7198
364	4132	7189
365	4145	7181
366	4165	7184
367	4177	7174
368	4188	7163
369	4200	7151
370	4211	7140
371	4224	7131
372	4235	7119
373	4246	7108
374	4257	7096
375	4268	7084
376	4279	7072
377	4290	7059
378	4301	7047
379	4312	7036
380	4323	7024
381	4334	7012
382	4345	7001
383	4356	6989
384	4368	6977
385	4379	6966
386	4390	6954
387	4401	6942
388	4413	6931
389	4424	6919
390	4435	6908
391	4446	6895
392	4457	6883
393	4468	6872
394	4479	6861
395	4490	6848
396	4501	6837
397	4512	6825
398	4523	6812
399	4533	6800
400	4545	6789
401	4555	6776
402	4566	6764
403	4577	6753
404	4589	6742
405	4599	6729
406	4610	6717
407	4621	6705
408	4632	6693
409	4643	6681
410	4656	6672
411	4671	6666
412	4688	6663
413	4699	6652
414	4711	6640
415	4722	6629
416	4733	6617
417	4744	6606
418	4755	6594
419	4766	6582
420	4777	6569
421	4788	6557
422	4798	6545
423	4809	6533
424	4820	6521
425	4831	6509
426	4841	6497
427	4852	6484
428	4863	6473
429	4875	6462
430	4886	6450
431	4897	6439
432	4908	6427
433	4919	6416
434	4930	6404
435	4942	6392
436	4952	6380
437	4964	6369
438	4975	6357
439	4985	6345
440	4997	6334
441	5008	6322
442	5019	6311
443	5031	6300
444	5043	6289
445	5055	6279
446	5067	6269
447	5078	6257
448	5090	6246
449	5100	6234
450	5111	6222
451	5123	6211
452	5134	6199
453	5144	6187
454	5155	6175
455	5166	6163
456	5177	6151
457	5191	6143
458	5207	6137
459	5223	6131
460	5234	6120
461	5245	6108
462	5256	6097
463	5268	6085
464	5279	6073
465	5290	6062
466	5301	6050
467	5312	6039
468	5323	6027
469	5334	6015
470	5346	6004
471	5357	5992
472	5368	5981
473	5379	5969
474	5390	5958
475	5401	5946
476	5412	5934
477	5423	5922
478	5434	5911
479	5445	5899
480	5456	5887
481	5467	5875
482	5478	5863
483	5489	5852
484	5500	5840
485	5512	5829
486	5523	5817
487	5533	5805
488	5544	5794
489	5555	5782
490	5566	5770
491	5577	5759
492	5588	5746
493	5599	5735
494	5610	5723
