iter	Passed	Remaining
0	3	3128
1	5	2778
2	7	2654
3	10	2595
4	12	2537
5	15	2509
6	17	2499
7	20	2498
8	22	2496
9	25	2495
10	27	2480
11	29	2398
12	35	2672
13	37	2653
14	40	2639
15	42	2634
16	45	2611
17	48	2626
18	50	2619
19	53	2607
20	55	2591
21	57	2577
22	60	2563
23	62	2561
24	65	2550
25	67	2536
26	76	2751
27	78	2736
28	81	2727
29	83	2712
30	85	2669
31	88	2662
32	90	2659
33	93	2648
34	95	2635
35	97	2622
36	105	2737
37	107	2721
38	109	2707
39	112	2692
40	114	2677
41	116	2664
42	119	2651
43	119	2602
44	122	2592
45	124	2582
46	126	2571
47	129	2562
48	131	2551
49	133	2542
50	136	2533
51	138	2523
52	145	2603
53	148	2593
54	150	2584
55	152	2575
56	155	2566
57	157	2557
58	159	2547
59	162	2538
60	164	2536
61	167	2534
62	169	2526
63	172	2518
64	174	2509
65	176	2501
66	179	2493
67	185	2548
68	188	2547
69	191	2540
70	193	2533
71	196	2531
72	198	2523
73	201	2515
74	203	2514
75	217	2650
76	220	2641
77	222	2632
78	225	2623
79	227	2614
80	229	2605
81	231	2597
82	234	2588
83	235	2570
84	238	2562
85	239	2545
86	241	2538
87	244	2532
88	246	2526
89	249	2518
90	251	2511
91	253	2506
92	255	2491
93	257	2484
94	260	2477
95	262	2470
96	264	2463
97	266	2457
98	269	2450
99	271	2443
100	273	2437
101	276	2432
102	278	2427
103	281	2421
104	283	2415
105	285	2410
106	288	2404
107	290	2399
108	292	2393
109	295	2388
110	308	2471
111	310	2465
112	313	2459
113	315	2453
114	318	2447
115	320	2441
116	322	2435
117	325	2429
118	325	2413
119	328	2407
120	330	2401
121	331	2389
122	334	2383
123	336	2377
124	338	2372
125	341	2366
126	343	2361
127	345	2356
128	348	2351
129	350	2346
130	362	2405
131	365	2403
132	368	2399
133	370	2395
134	373	2391
135	375	2386
136	378	2384
137	381	2381
138	383	2378
139	386	2374
140	388	2368
141	391	2367
142	394	2361
143	399	2372
144	401	2366
145	403	2361
146	406	2356
147	408	2350
148	410	2345
149	413	2340
150	415	2335
151	417	2328
152	419	2323
153	422	2318
154	424	2314
155	426	2309
156	429	2304
157	431	2299
158	433	2294
159	436	2289
160	438	2283
161	440	2279
162	459	2357
163	461	2354
164	464	2349
165	466	2344
166	469	2340
167	471	2336
168	474	2331
169	476	2327
170	479	2323
171	481	2319
172	484	2316
173	487	2312
174	489	2308
175	498	2333
176	501	2332
177	504	2327
178	506	2324
179	509	2319
180	511	2316
181	514	2312
182	516	2307
183	519	2304
184	522	2300
185	525	2297
186	527	2293
187	529	2288
188	535	2295
189	537	2291
190	539	2286
191	542	2281
192	544	2276
193	547	2273
194	549	2268
195	551	2263
196	557	2273
197	560	2270
198	562	2265
199	565	2260
200	567	2255
201	569	2250
202	572	2245
203	574	2241
204	576	2236
205	579	2232
206	581	2227
207	583	2223
208	586	2218
209	588	2213
210	590	2209
211	593	2205
212	600	2217
213	602	2212
214	605	2209
215	630	2288
216	633	2284
217	635	2280
218	638	2276
219	640	2271
220	643	2267
221	645	2262
222	648	2258
223	650	2254
224	653	2250
225	655	2246
226	658	2242
227	660	2237
228	663	2233
229	665	2229
230	668	2225
231	671	2221
232	673	2217
233	687	2250
234	689	2246
235	703	2277
236	706	2273
237	708	2269
238	711	2265
239	713	2259
240	715	2254
241	718	2249
242	720	2244
243	722	2239
244	725	2235
245	727	2230
246	730	2226
247	732	2221
248	734	2216
249	753	2259
250	761	2272
251	764	2267
252	766	2263
253	769	2259
254	771	2254
255	774	2250
256	776	2245
257	778	2240
258	781	2234
259	783	2230
260	785	2225
261	819	2307
262	822	2303
263	824	2299
264	827	2294
265	830	2290
266	832	2285
267	835	2280
268	838	2279
269	841	2274
270	844	2270
271	846	2266
272	860	2290
273	862	2285
274	885	2335
275	888	2329
276	890	2324
277	893	2319
278	895	2314
279	898	2310
280	900	2305
281	903	2299
282	905	2295
283	908	2290
284	911	2287
285	914	2281
286	916	2276
287	918	2271
288	935	2301
289	938	2296
290	940	2291
291	945	2291
292	947	2286
293	950	2281
294	954	2280
295	956	2275
296	959	2270
297	961	2264
298	963	2259
299	973	2271
300	975	2266
301	978	2261
302	981	2256
303	983	2251
304	987	2249
305	989	2244
306	992	2240
307	994	2235
308	997	2230
309	1000	2226
310	1002	2221
311	1005	2217
312	1007	2212
313	1010	2207
314	1013	2203
315	1015	2198
316	1018	2194
317	1042	2234
318	1044	2230
319	1046	2224
320	1049	2219
321	1051	2214
322	1054	2209
323	1056	2204
324	1059	2199
325	1061	2194
326	1063	2189
327	1066	2184
328	1068	2178
329	1070	2173
330	1072	2168
331	1075	2163
332	1077	2158
333	1079	2153
334	1082	2148
335	1084	2143
336	1103	2170
337	1105	2165
338	1108	2160
339	1111	2156
340	1113	2152
341	1116	2147
342	1118	2142
343	1121	2138
344	1123	2133
345	1126	2129
346	1128	2124
347	1131	2119
